Station_ID,Timestamp,CO_Channel,NOx_Channel,NO2_Channel,Ambient_Temperature,Relative_Humidity,Absolute_Humidity
STN-01,2021-01-01 00:00:00,1.2,411.0,157.0,4.8,56.3,0.9245
STN-01,2021-01-01 01:00:00,1.5,397.0,167.0,2.9,54.7,0.8249
STN-01,2021-01-01 02:00:00,0.7,300.0,135.0,1.8,50.1,0.7405
STN-01,2021-01-01 03:00:00,0.5,284.0,142.0,0.9,48.8,0.6769
STN-01,2021-01-01 04:00:00,0.0,209.0,118.0,0.9,53.6,0.7118
STN-01,2021-01-01 05:00:00,0.0,284.0,111.0,1.6,54.2,0.7196
STN-01,2021-01-01 06:00:00,0.9,334.0,122.0,2.7,57.3,0.7971
STN-01,2021-01-01 07:00:00,2.0,418.0,161.0,1.4,50.9,0.6762
STN-01,2021-01-01 08:00:00,2.4,468.0,152.0,2.1,50.5,0.7257
STN-01,2021-01-01 09:00:00,2.6,482.0,158.0,3.5,47.7,0.7078
STN-01,2021-01-01 10:00:00,1.9,386.0,141.0,5.8,41.5,0.7022
STN-01,2021-01-01 11:00:00,2.4,436.0,152.0,7.6,46.0,0.7934
STN-01,2021-01-01 12:00:00,2.0,349.0,146.0,8.7,46.7,0.8085
STN-01,2021-01-01 13:00:00,1.9,314.0,,8.6,46.4,0.7946
STN-01,2021-01-01 14:00:00,1.8,237.0,115.0,10.0,41.9,0.7829
STN-01,2021-01-01 15:00:00,1.2,198.0,124.0,10.2,37.0,0.7102
STN-01,2021-01-01 16:00:00,0.8,230.0,135.0,9.5,36.8,0.689
STN-01,2021-01-01 17:00:00,1.1,,144.0,9.3,38.2,0.6873
STN-01,2021-01-01 18:00:00,1.4,159.0,113.0,7.9,48.1,0.8073
STN-01,2021-01-01 19:00:00,1.9,239.0,125.0,7.8,49.4,0.8062
STN-01,2021-01-01 20:00:00,1.7,,104.0,5.2,54.3,0.7896
STN-01,2021-01-01 21:00:00,1.2,147.0,96.0,4.2,52.3,0.7494
STN-01,2021-01-01 22:00:00,0.6,129.0,97.0,2.1,59.0,0.7594
STN-01,2021-01-01 23:00:00,2.0,329.0,135.0,0.2,55.9,0.6626
STN-01,2021-01-02 00:00:00,1.5,295.0,111.0,1.0,59.2,0.706
STN-01,2021-01-02 01:00:00,1.3,190.0,110.0,1.0,58.8,0.676
STN-01,2021-01-02 02:00:00,1.2,197.0,117.0,1.4,112.03896675956639,0.6673
STN-01,2021-01-02 03:00:00,0.9,161.0,126.0,0.3,55.7,0.6207
STN-01,2021-01-02 04:00:00,0.3,154.0,99.0,-0.4,55.2,0.5673
STN-01,2021-01-02 05:00:00,0.0,151.0,85.0,0.5,54.9,0.5951
STN-01,2021-01-02 06:00:00,1.9,309.0,111.0,0.0,65.2,0.717
STN-01,2021-01-02 07:00:00,3.5,469.0,140.0,0.9,66.3,0.7656
STN-01,2021-01-02 08:00:00,4.1,541.0,149.0,1.7,67.7,0.7781
STN-01,2021-01-02 09:00:00,4.5,544.0,153.0,2.4,69.2,0.8069
STN-01,2021-01-02 10:00:00,4.3,526.0,157.0,5.0,66.2,0.8174
STN-01,2021-01-02 11:00:00,2.8,353.0,128.0,6.6,60.2,0.7579
STN-01,2021-01-02 12:00:00,2.1,196.0,109.0,7.4,59.6,0.7734
STN-01,2021-01-02 13:00:00,1.0,14.0,75.0,7.4,54.9,0.7034
STN-01,2021-01-02 14:00:00,1.3,45.0,87.0,8.1,52.0,0.6649
